name,type,classification,owner,location,category,description,retention,riskLevel,status,hasInventory,hasDataMapping,hasRiskAssessment,hasDPIA,hasRetentionSchedule,hasAccessControls,hasEncryption,hasBackupProcedure,compliance
"Customer Database","Database","Confidential","IT Department","AWS RDS","Customer Data","Primary customer information database including contact details, purchase history, and preferences","7 years","Medium","Active",true,true,true,true,true,true,true,true,"GDPR, CCPA"
"Employee Records System","Database","Restricted","HR Department","On-Premise","Personnel Data","Complete employee records including personal information, compensation, performance reviews, and benefits","7 years post-employment","High","Active",true,true,true,true,true,true,true,true,"GDPR, EEOC"
"Public Website","Application","Public","Marketing Department","Cloudflare CDN","Marketing","Company public website with product information, blog, and contact forms","Indefinite","Low","Active",true,true,false,false,true,true,true,true,"None"
"Financial Reporting System","Application","Confidential","Finance Department","Azure","Financial Data","General ledger, accounts payable/receivable, financial statements","7 years","High","Active",true,true,true,false,true,true,true,true,"SOX, GAAP"
"Product Catalog","Database","Public","Sales Department","AWS S3","Product Data","Product descriptions, pricing, specifications, and images","3 years","Low","Active",true,true,false,false,true,false,false,true,"None"
"Patient Medical Records","Database","Restricted","Medical Department","On-Premise HIPAA","Healthcare Data","Electronic health records including diagnoses, treatments, medications, and test results","6 years post-treatment","High","Active",true,true,true,true,true,true,true,true,"HIPAA, HITECH"
"Internal Wiki","Application","Internal","IT Department","Azure Wiki Service","Knowledge Base","Internal documentation, procedures, troubleshooting guides, and IT policies","Indefinite","Low","Active",true,false,false,false,false,true,false,false,"None"
"Payment Processing Gateway","API","Restricted","IT Department","Stripe API","Payment Data","Payment card processing API handling customer transactions","7 years","High","Active",true,true,true,true,true,true,true,true,"PCI-DSS, GDPR"
"Backup Archives","Cloud Storage","Confidential","IT Department","AWS Glacier","Backup Data","Encrypted backups of all production systems and databases","7 years","Medium","Active",true,true,true,false,true,true,true,true,"ISO 27001"
"Email System","Application","Internal","IT Department","Microsoft 365","Communications","Corporate email system for internal and external communications","3 years","Medium","Active",true,true,true,false,true,true,true,true,"GDPR, eDiscovery"
"Marketing Analytics","Database","Confidential","Marketing Department","Google Analytics","Analytics Data","Website visitor analytics, campaign performance, and conversion tracking","2 years","Low","Active",true,true,false,false,true,true,false,true,"GDPR, CCPA"
"Contract Management System","Application","Confidential","Legal Department","SharePoint","Legal Documents","Customer contracts, vendor agreements, NDAs, and legal documentation","10 years","Medium","Active",true,true,true,false,true,true,true,true,"Legal Hold, SOX"
"Security Camera Footage","File System","Internal","Security Department","On-Premise NAS","Surveillance","Security camera recordings for all facility locations","90 days","Medium","Active",true,false,true,false,true,true,true,true,"Privacy Laws"
"Research Database","Database","Confidential","R&D Department","On-Premise","R&D Data","Proprietary research data, test results, product development information","Indefinite","High","Active",true,true,true,false,true,true,true,true,"Trade Secret, ISO"
"Customer Support Tickets","Application","Confidential","Support Department","Zendesk","Support Data","Customer support tickets, chat logs, and issue resolution history","5 years","Medium","Active",true,true,false,false,true,true,false,true,"GDPR, CCPA"
"Mobile App","Application","Internal","IT Department","App Stores","Mobile","Customer-facing mobile application for account management and orders","N/A","Medium","Active",true,true,true,true,true,true,true,true,"GDPR, CCPA"
"Data Warehouse","Database","Confidential","Analytics Department","Snowflake","Business Intelligence","Centralized data warehouse for business intelligence and reporting","5 years","Medium","Active",true,true,true,false,true,true,true,true,"GDPR, CCPA"
"HR Benefits Portal","Application","Restricted","HR Department","ADP","Benefits Data","Employee benefits enrollment, 401k information, health insurance data","7 years","High","Active",true,true,true,true,true,true,true,true,"ERISA, HIPAA"
"Inventory Management","Application","Internal","Operations","SAP","Inventory Data","Real-time inventory tracking, warehouse management, supply chain data","7 years","Low","Active",true,false,false,false,true,true,false,true,"None"
"Training Portal","Application","Internal","HR Department","Cornerstone","Training Data","Employee training records, certifications, and compliance training history","5 years","Low","Active",true,false,false,false,true,true,false,true,"OSHA, Industry Certs"
